hanja,kor,link
衣,옷 의,https://namu.wiki/w/%E8%A1%A3
者,놈 자,https://namu.wiki/w/%E8%80%85
章,글 장,https://namu.wiki/w/%E7%AB%A0
在,있을 재:,https://namu.wiki/w/%E5%9C%A8
定,정할 정:,https://namu.wiki/w/%E5%AE%9A
朝,아침 조,https://namu.wiki/w/%E6%9C%9D
族,겨레 족,https://namu.wiki/w/%E6%97%8F
晝,낮 주,https://namu.wiki/w/%E6%99%9D
親,친할 친,https://namu.wiki/w/%E8%A6%AA
太,클 태,https://namu.wiki/w/%E5%A4%AA
通,통할 통,https://namu.wiki/w/%E9%80%9A
特,특별할 특,https://namu.wiki/w/%E7%89%B9
合,합할 합,https://namu.wiki/w/%E5%90%88
行,다닐 행(:) | 항렬 항[28],https://namu.wiki/w/%E8%A1%8C
向,향할 향:,https://namu.wiki/w/%E5%90%91
號,이름 호(:)[29],https://namu.wiki/w/%E8%99%9F
畫,그림 화: | 그을 획[30],https://namu.wiki/w/%E7%95%AB
黃,누를 황,https://namu.wiki/w/%E9%BB%83
訓,가르칠 훈:,https://namu.wiki/w/%E8%A8%93
價,값 가,https://namu.wiki/w/%E5%83%B9
客,손 객,https://namu.wiki/w/%E5%AE%A2
格,격식 격,https://namu.wiki/w/%E6%A0%BC
見,볼 견: | 뵈올 현:,https://namu.wiki/w/%E8%A6%8B
結,맺을 결,https://namu.wiki/w/%E7%B5%90
決,결단할 결,https://namu.wiki/w/%E6%B1%BA
敬,공경 경:,https://namu.wiki/w/%E6%95%AC
告,고할 고:,https://namu.wiki/w/%E5%91%8A
課,공부할/과정 과(:)[31],https://namu.wiki/w/%E8%AA%B2
過,지날 과:,https://namu.wiki/w/%E9%81%8E
觀,볼 관,https://namu.wiki/w/%E8%A7%80
關,관계할 관,https://namu.wiki/w/%E9%97%9C
廣,넓을 광:,https://namu.wiki/w/%E5%BB%A3
具,갖출 구(:)[32],https://namu.wiki/w/%E5%85%B7
舊,예 구:,https://namu.wiki/w/%E8%88%8A
局,판 국,https://namu.wiki/w/%E5%B1%80
基,터 기,https://namu.wiki/w/%E5%9F%BA
己,몸 기,https://namu.wiki/w/%E5%B7%B1
念,생각 념:,https://namu.wiki/w/%E5%BF%B5
能,능할 능,https://namu.wiki/w/%E8%83%BD
團,둥글 단,https://namu.wiki/w/%E5%9C%98
當,마땅 당,https://namu.wiki/w/%E7%95%B6
德,큰 덕,https://namu.wiki/w/%E5%BE%B7
到,이를 도:,https://namu.wiki/w/%E5%88%B0
獨,홀로 독,https://namu.wiki/w/%E7%8D%A8
朗,밝을 랑:,https://namu.wiki/w/%E6%9C%97
良,어질 량,https://namu.wiki/w/%E8%89%AF
旅,나그네 려,https://namu.wiki/w/%E6%97%85
歷,지날 력,https://namu.wiki/w/%E6%AD%B7
練,익힐 련:,https://namu.wiki/w/%E7%B7%B4
勞,일할 로,https://namu.wiki/w/%E5%8B%9E
流,흐를 류,https://namu.wiki/w/%E6%B5%81
類,무리 류(:)[33],https://namu.wiki/w/%E9%A1%9E
陸,뭍 륙,https://namu.wiki/w/%E9%99%B8
望,바랄 망:,https://namu.wiki/w/%E6%9C%9B
法,법 법,https://namu.wiki/w/%E6%B3%95
變,변할 변,https://namu.wiki/w/%E8%AE%8A
兵,병사 병:,https://namu.wiki/w/%E5%85%B5
福,복 복,https://namu.wiki/w/%E7%A6%8F
奉,받들 봉:,https://namu.wiki/w/%E5%A5%89
史,사기 사:,https://namu.wiki/w/%E5%8F%B2
士,선비 사:,https://namu.wiki/w/%E5%A3%AB
仕,섬길 사(:)[34],https://namu.wiki/w/%E4%BB%95
産,35] 낳을 산:,https://namu.wiki/w/%E7%94%A2
商,장사 상,https://namu.wiki/w/%E5%95%86
相,서로 상,https://namu.wiki/w/%E7%9B%B8
鮮,고울 선,https://namu.wiki/w/%E9%AE%AE
仙,신선 선,https://namu.wiki/w/%E4%BB%99
說,말씀 설 | 달랠 세:[36],https://namu.wiki/w/%E8%AA%AA
性,성품 성:,https://namu.wiki/w/%E6%80%A7
洗,씻을 세:,https://namu.wiki/w/%E6%B4%97
歲,해 세:,https://namu.wiki/w/%E6%AD%B2
束,묶을 속,https://namu.wiki/w/%E6%9D%9F
首,머리 수,https://namu.wiki/w/%E9%A6%96
宿,잘 숙 | 별자리 수:[37],https://namu.wiki/w/%E5%AE%BF
順,순할 순[38]:,https://namu.wiki/w/%E9%A0%86
識,알 식,https://namu.wiki/w/%E8%AD%98
臣,신하 신,https://namu.wiki/w/%E8%87%A3
實,열매 실[39],https://namu.wiki/w/%E5%AF%A6
兒,아이 아,https://namu.wiki/w/%E5%85%92
惡,악할 악 | 미워할 오,https://namu.wiki/w/%E6%83%A1
約,맺을 약,https://namu.wiki/w/%E7%B4%84
養,기를 양:,https://namu.wiki/w/%E9%A4%8A
要,요긴할 요(:)[40],https://namu.wiki/w/%E8%A6%81
友,벗 우:,https://namu.wiki/w/%E5%8F%8B
雨,비 우:,https://namu.wiki/w/%E9%9B%A8
雲,구름 운,https://namu.wiki/w/%E9%9B%B2
元,으뜸 원,https://namu.wiki/w/%E5%85%83
偉,클 위,https://namu.wiki/w/%E5%81%89
以,써 이:,https://namu.wiki/w/%E4%BB%A5
任,맡길 임(:)[41],https://namu.wiki/w/%E4%BB%BB
財,재물 재,https://namu.wiki/w/%E8%B2%A1
材,재목 재,https://namu.wiki/w/%E6%9D%90
的,과녁 적,https://namu.wiki/w/%E7%9A%84
傳,전할 전,https://namu.wiki/w/%E5%82%B3
典,법 전:,https://namu.wiki/w/%E5%85%B8
展,펼 전:,https://namu.wiki/w/%E5%B1%95
節,마디 절,https://namu.wiki/w/%E7%AF%80
切,끊을 절 | 온통 체,https://namu.wiki/w/%E5%88%87
店,가게 점:,https://namu.wiki/w/%E5%BA%97
情,뜻 정,https://namu.wiki/w/%E6%83%85
調,고를 조,https://namu.wiki/w/%E8%AA%BF
卒,마칠 졸,https://namu.wiki/w/%E5%8D%92
種,씨 종(:)[42],https://namu.wiki/w/%E7%A8%AE
週,주일 주,https://namu.wiki/w/%E9%80%B1
州,고을 주,https://namu.wiki/w/%E5%B7%9E
知,알 지,https://namu.wiki/w/%E7%9F%A5
質,바탕 질,https://namu.wiki/w/%E8%B3%AA
着,붙을 착,https://namu.wiki/w/%E7%9D%80
參,참여할 참,https://namu.wiki/w/%E5%8F%83
責,꾸짖을 책,https://namu.wiki/w/%E8%B2%AC
充,채울 충,https://namu.wiki/w/%E5%85%85
宅,집 택,https://namu.wiki/w/%E5%AE%85
品,물건 품:,https://namu.wiki/w/%E5%93%81
必,반드시 필,https://namu.wiki/w/%E5%BF%85
筆,붓 필,https://namu.wiki/w/%E7%AD%86
害,해할 해:,https://namu.wiki/w/%E5%AE%B3
化,될 화(:)[43],https://namu.wiki/w/%E5%8C%96
效,본받을 효:,https://namu.wiki/w/%E6%95%88
凶,흉할 흉,https://namu.wiki/w/%E5%87%B6
