hanja,kor,radical,total_num_of_strokes,level
殉,따라죽을 순,歹,10획,3급
脣,입술 순,肉,11획,3급
戌,개 술,戈,6획,3급
矢,화살 시,矢,5획,3급
辛,매울 신,辛,7획,3급
伸,펼 신,人,7획,3급
晨,새벽 신,日,11획,3급
尋,찾을 심,寸,12획,3급
餓,주릴 아,食,16획,3급
岳,큰산 악,山,8획,3급
雁,기러기 안,隹,12획,3급
謁,뵐 알,言,16획,3급
押,누를 압,手,8획,3급
殃,재앙 앙,歹,9획,3급
涯,물가 애,水,11획,3급
厄,액 액,厂,4획,3급
也,이끼/어조사 야,乙,3획,3급
耶,어조사 야,耳,9획,3급
躍,뛸 약,足,21획,3급
楊,버들 양,木,13획,3급
於,"어조사 어, 탄식할 오",方,8획,3급
焉,어찌 언,火,11획,3급
輿,수레 여,車,17획,3급
汝,너 여,水,6획,3급
余,나 여,人,7획,3급
予,"나/줄 여, 미리 예",亅,4획,3급
閱,볼 열,門,15획,3급
詠,읊을 영,言,12획,3급
泳,헤엄칠 영,水,8획,3급
銳,날카로울 예,金,15획,3급
嗚,슬플 오,口,13획,3급
娛,즐길 오,女,10획,3급
吾,나 오,口,7획,3급
傲,거만할 오,人,13획,3급
汚,더러울 오,水,6획,3급
擁,낄 옹,手,16획,3급
翁,늙은이 옹,羽,10획,3급
臥,누울 와,臣,8획,3급
曰,가로 왈,曰,4획,3급
畏,두려워할 외,田,9획,3급
遙,멀 요,辵,14획,3급
腰,허리 요,肉,13획,3급
搖,흔들 요,手,13획,3급
庸,떳떳할 용,广,11획,3급
于,어조사 우,二,3획,3급
尤,더욱 우,尢,4획,3급
又,또 우,又,2획,3급
云,이를 운,二,4획,3급
違,어긋날 위,辵,13획,3급
緯,씨 위,糸,15획,3급
唯,오직 유,口,11획,3급
酉,닭 유,酉,7획,3급
愈,나을 유,心,13획,3급
惟,생각할 유,心,11획,3급
閏,윤달 윤,門,12획,3급
吟,읊을 음,口,7획,3급
泣,울 읍,水,8획,3급
凝,엉길 응,冫,16획,3급
矣,어조사 의,矢,7획,3급
宜,마땅 의,宀,8획,3급
而,말이을 이,而,6획,3급
夷,오랑캐 이,大,6획,3급
寅,범/동방 인,宀,11획,3급
姻,혼인 인,女,9획,3급
恣,마음대로/방자할 자,心,10획,3급
玆,이 자,玄,10획,3급
酌,술부을/잔질할 작,酉,10획,3급
爵,벼슬 작,爪,18획,3급
墻,담 장,土,16획,3급
哉,어조사 재,口,9획,3급
宰,재상 재,宀,10획,3급
滴,물방울 적,水,14획,3급
竊,훔칠 절,穴,22획,3급
蝶,나비 접,虫,15획,3급
訂,바로잡을 정,言,9획,3급
堤,둑 제,土,12획,3급
燥,마를 조,火,17획,3급
弔,조상할 조,弓,4획,3급
拙,졸할 졸,手,8획,3급
佐,도울 좌,人,7획,3급
舟,배 주,舟,6획,3급
遵,좇을 준,辵,16획,3급
俊,준걸 준,人,9획,3급
贈,줄 증,貝,19획,3급
只,다만 지,口,5획,3급
遲,더딜/늦을 지,辵,16획,3급
姪,조카 질,女,9획,3급
懲,징계할 징,心,19획,3급
且,또 차,一,5획,3급
捉,잡을 착,手,10획,3급
慙,부끄러울 참,心,15획,3급
慘,참혹할 참,心,14획,3급
暢,화창할 창,日,14획,3급
斥,물리칠 척,斤,5획,3급
薦,천거할 천,艸,17획,3급
尖,뾰족할 첨,小,6획,3급
添,더할 첨,水,11획,3급
妾,첩 첩,女,8획,3급
晴,갤 청,日,12획,3급
遞,갈릴 체,辵,14획,3급
逮,잡을 체,辵,12획,3급
替,바꿀 체,曰,12획,3급
抄,뽑을 초,手,7획,3급
秒,분초 초,禾,9획,3급
燭,촛불 촉,火,17획,3급
聰,귀밝을 총,耳,17획,3급
醜,추할 추,酉,17획,3급
抽,뽑을 추,手,8획,3급
逐,쫓을 축,辵,11획,3급
丑,소 축,一,4획,3급
臭,냄새 취,自,10획,3급
枕,베개 침,木,8획,3급
妥,온당할 타,女,7획,3급
墮,떨어질 타,土,15획,3급
托,맡길 탁,手,6획,3급
濁,흐릴 탁,水,16획,3급
濯,씻을 탁,水,17획,3급
誕,낳을/거짓 탄,言,14획,3급
貪,탐낼 탐,貝,11획,3급
怠,게으를 태,心,9획,3급
播,뿌릴 파,手,15획,3급
把,잡을 파,手,7획,3급
罷,마칠 파,网,15획,3급
頗,자못 파,頁,14획,3급
販,팔 판,貝,11획,3급
貝,조개 패,貝,7획,3급
遍,두루 편,辵,13획,3급
幣,화폐 폐,巾,15획,3급
蔽,덮을 폐,艸,16획,3급
抱,안을 포,手,8획,3급
飽,배부를 포,食,14획,3급
幅,폭 폭,巾,12획,3급
漂,떠다닐 표,水,14획,3급
匹,짝 필,匸,4획,3급
旱,가물 한,日,7획,3급
咸,다 함,口,9획,3급
巷,거리 항,己,9획,3급
亥,돼지 해,亠,6획,3급
奚,어찌 해,大,10획,3급
該,갖출/마땅 해,言,13획,3급
享,누릴 향,亠,8획,3급
軒,집 헌,車,10획,3급
絃,줄 현,糸,11획,3급
縣,고을 현,糸,16획,3급
嫌,싫어할 혐,女,13획,3급
亨,형통할 형,亠,7획,3급
螢,반딧불 형,虫,16획,3급
兮,어조사 혜,八,4획,3급
乎,어조사 호,丿,5획,3급
互,서로 호,二,4획,3급
毫,가는털 호,毛,11획,3급
昏,어두울 혼,日,8획,3급
鴻,기러기 홍,鳥,17획,3급
弘,클 홍,弓,5획,3급
禾,벼 화,禾,5획,3급
穫,거둘 확,禾,19획,3급
擴,넓힐 확,手,18획,3급
丸,둥글 환,丶,3획,3급
曉,새벽 효,日,16획,3급
侯,제후 후,人,9획,3급
毁,헐 훼,殳,13획,3급
輝,빛날 휘,車[1],15획,3급
携,이끌 휴,手,13획,3급
佳,아름다울 가,人,8획,준3급
架,시렁 가,木,9획,준3급
脚,다리 각,肉,11획,준3급
閣,집 각,門,14획,준3급
刊,새길 간,刀,5획,준3급
幹,줄기 간,干,13획,준3급
懇,간절할 간,心,17획,준3급
肝,간 간,肉,7획,준3급
鑑,거울 감,金,22획,준3급
剛,굳셀 강,刀,10획,준3급
綱,벼리 강,糸,14획,준3급
鋼,강철 강,金,16획,준3급
槪,대개 개,木,15획,준3급
介,낄 개,人,4획,준3급
蓋,덮을 개,艸,14획,준3급
距,상거할 거,足,12획,준3급
乾,하늘/마를 건,乙,11획,준3급
劍,칼 검,刀,15획,준3급
隔,사이뜰 격,阜,13획,준3급
訣,이별할 결,言,11획,준3급
兼,겸할 겸,八,10획,준3급
謙,겸손할 겸,言,17획,준3급
頃,이랑/잠깐 경,頁,11획,준3급
徑,지름길/길 경,彳,10획,준3급
硬,굳을 경,石,12획,준3급
耕,밭갈 경,耒,10획,준3급
契,맺을 계,大,9획,준3급
桂,계수나무 계,木,10획,준3급
啓,열 계,口,11획,준3급
溪,시내 계,水,13획,준3급
械,기계 계,木,11획,준3급
姑,시어미 고,女,8획,준3급
稿,원고/볏짚 고,禾,15획,준3급
鼓,북 고,鼓,13획,준3급
哭,울 곡,口,10획,준3급
谷,골 곡,谷,7획,준3급
貢,바칠 공,貝,10획,준3급
供,이바지할 공,人,8획,준3급
恐,두려울 공,心,10획,준3급
恭,공손할 공,心,10획,준3급
誇,자랑할 과,言,13획,준3급
寡,적을 과,宀,14획,준3급
寬,너그러울 관,宀,15획,준3급
貫,꿸 관,貝,11획,준3급
館,집 관,食,17획,준3급
慣,익숙할 관,心,14획,준3급
冠,갓 관,冖,9획,준3급
狂,미칠 광,犬,7획,준3급
壞,무너질 괴,土,19획,준3급
怪,괴이할 괴,心,8획,준3급
巧,공교할 교,工,5획,준3급
較,견줄/비교할 교,車,13획,준3급
久,오랠 구,丿,3획,준3급
拘,잡을 구,手,8획,준3급
丘,언덕 구,一,5획,준3급
菊,국화 국,艸,12획,준3급
弓,활 궁,弓,3획,준3급
拳,주먹 권,手,10획,준3급
鬼,귀신 귀,鬼,10획,준3급
菌,버섯 균,艸,12획,준3급
克,이길 극,儿,7획,준3급
禽,새 금,禸,13획,준3급
錦,비단 금,金,16획,준3급
琴,거문고 금,玉,12획,준3급
及,미칠 급,又,4획,준3급
騎,말탈 기,馬,18획,준3급
祈,빌 기,示,9획,준3급
畿,경기 기,田,15획,준3급
其,그 기,八,8획,준3급
企,꾀할 기,人,6획,준3급
緊,긴할 긴,糸,14획,준3급
諾,허락할 낙,言,16획,준3급
娘,계집 낭/랑,女,10획,준3급
耐,견딜 내,而,9획,준3급
寧,편안 녕,宀,14획,준3급
奴,종 노,女,5획,준3급
腦,골/뇌수 뇌,肉,13획,준3급
泥,진흙 니,水,8획,준3급
茶,차 다/차,艸,10획,준3급
旦,아침 단,日,5획,준3급
但,다만 단,人,7획,준3급
丹,붉을 단,丶,4획,준3급
淡,맑을 담,水,11획,준3급
踏,밟을 답,足,15획,준3급
糖,엿 당,米,16획,준3급
唐,당나라/당황할 당,口,10획,준3급
臺,대 대,至,14획,준3급
貸,빌릴/뀔 대,貝,12획,준3급
渡,건널 도,水,12획,준3급
桃,복숭아 도,木,10획,준3급
倒,넘어질 도,人,10획,준3급
陶,질그릇 도,阜,11획,준3급
途,길 도,辵,11획,준3급
刀,칼 도,刀,2획,준3급
突,갑자기 돌,穴,9획,준3급
凍,얼 동,冫,10획,준3급
絡,이을/얽을 락,糸,12획,준3급
欄,난간 란,木,21획,준3급
蘭,난초 란,艸,21획,준3급
浪,물결 랑,水,10획,준3급
廊,사랑채/행랑 랑,广,13획,준3급
郞,사내 랑,邑,10획,준3급
涼,서늘할 량,水,11획,준3급
梁,들보/돌다리 량,木,11획,준3급
勵,힘쓸 려,力,17획,준3급
曆,책력 력,日,16획,준3급
鍊,쇠불릴/단련할 련,金,17획,준3급
蓮,연꽃 련,艸,15획,준3급
聯,연이을 련,耳,17획,준3급
戀,그리워할/그릴 련,心,23획,준3급
裂,찢어질 렬,衣,12획,준3급
靈,신령 령,雨,24획,준3급
嶺,고개 령,山,17획,준3급
露,이슬 로,雨,21획,준3급
爐,화로 로,火,20획,준3급
祿,녹 록,示,13획,준3급
弄,희롱할 롱,廾,7획,준3급
賴,의뢰할 뢰,貝,16획,준3급
雷,우레 뢰,雨,13획,준3급
漏,샐 루,水,14획,준3급
樓,다락 루,木,15획,준3급
累,여러/자주 루,糸,11획,준3급
倫,인륜 륜,人,10획,준3급
率,"비율 률, 거느릴 솔",玄,11획,준3급
栗,밤 률,木,10획,준3급
隆,높을 륭,阜,12획,준3급
