hanja,kor,radical,radical_name,stroke_count,level,rep_pron,mistake
約,맺을 약,糸,실 사|가는실 멱,9,준5급,약,3
損,덜 손,手,손 수,13,4급,손,3
旋,돌 선,方,모 방,11,준3급,선,5
荒,거칠 황,艸,풀 초,10,준3급,황,2
係,맬 계,人,사람 인,9,준4급,계,2
巡,돌/순행할 순,巛,내 천,7,준3급,순,4
竊,훔칠 절,穴,굴 혈,22,3급,절,3
臥,누울 와,臣,신하 신,8,3급,와,2
添,더할 첨,水,물 수,11,3급,첨,2
束,묶을 속,木,나무 목,7,준5급,속,2
獄,옥 옥,犬,개 견,14,준3급,옥,2
捨,버릴 사,手,손 수,11,3급,사,2
緩,느릴 완,糸,실 사|가는실 멱,15,준3급,완,2
穀,곡식 곡,禾,벼 화,15,4급,곡,3
刷,인쇄할 쇄,刀,칼 도,8,준3급,쇄,4
召,부를 소,口,입 구,5,3급,소,4
衝,찌를 충,行,다닐 행|항렬 항,15,준3급,충,2
梅,매화 매,木,나무 목,11,준3급,매,2
屬,붙일 속,尸,주검 시,21,4급,속,5
熟,익을 숙,火,불 화,15,준3급,숙,5
途,길 도,辵,쉬엄쉬엄갈 착,11,준3급,도,6
劇,심할 극,刀,칼 도,15,4급,극,5
素,본디/흴 소,糸,실 사|가는실 멱,10,준4급,소,2
般,가지/일반 반,舟,배 주,10,준3급,반,5
騷,떠들 소,馬,말 마,20,3급,소,6
姉,손윗누이 자,女,계집 녀,8,4급,자,3
鍾,쇠북 종,金,쇠 금|성 김,17,4급,종,2
雁,기러기 안,隹,새 추,12,3급,안,5
誤,그르칠 오,言,말씀 언,14,준4급,오,2
惡,악할 악|미워할 오,心,마음 심,12,준5급,악,2
西,서녘 서,襾,덮을 아,6,8급,서,2
帳,장막 장,巾,수건 건,11,4급,장,4
順,순할 순,頁,머리 혈,12,준5급,순,2
疫,전염병 역,疒,병들어기댈 녁,9,준3급,역,4
諸,모두 제,言,말씀 언,16,준3급,제,3
逸,편안할 일,辵,쉬엄쉬엄갈 착,12,준3급,일,2
祀,제사 사,示,보일 시,8,준3급,사,3
優,넉넉할 우,人,사람 인,17,4급,우,2
搖,흔들 요,手,손 수,13,3급,요,2
韻,운 운,音,소리 음,19,준3급,운,5
蓋,덮을 개,艸,풀 초,14,준3급,개,3
晚,늦을 만,日,날 일,11,준3급,만,3
脣,입술 순,肉,고기 육,11,3급,순,4
更,고칠 경|다시 갱,曰,가로 왈,7,4급,경,2
押,누를 압,手,손 수,8,3급,압,3
詳,자세할 상,言,말씀 언,13,준3급,상,2
畏,두려워할 외,田,밭 전,9,3급,외,3
顔,낯 안,頁,머리 혈,18,준3급,안,5
誘,꾈 유,言,말씀 언,14,준3급,유,3
律,법칙 률,彳,조금걸을 척,9,준4급,률,2
收,거둘 수,攴,칠 복,6,준4급,수,5
飾,꾸밀 식,食,밥/먹을 식,14,준3급,식,3
慮,생각할 려,心,마음 심,15,4급,려,2
厄,액 액,厂,기슭 한,4,3급,액,4
詐,속일 사,言,말씀 언,12,3급,사,3
裁,옷마를 재,衣,옷 의,12,준3급,재,3
俊,준걸 준,人,사람 인,9,3급,준,3
詞,말/글 사,言,말씀 언,12,준3급,사,4
徐,천천할 서,彳,조금걸을 척,10,준3급,서,4
卵,알 란,卩,병부 절,7,4급,란,2
遂,드디어 수,辵,쉬엄쉬엄갈 착,13,3급,수,5
赴,다다를/갈 부,走,달릴 주,9,3급,부,3
鑄,쇠불릴 주,金,쇠 금|성 김,22,준3급,주,2
承,이을 승,手,손 수,8,준4급,승,5
違,어긋날 위,辵,쉬엄쉬엄갈 착,13,3급,위,3
疑,의심할 의,疋,짝 필,14,4급,의,2
衡,저울대 형,行,다닐 행|항렬 항,16,준3급,형,3
旬,열흘 순,日,날 일,6,준3급,순,2
雖,비록 수,隹,새 추,17,3급,수,5
幽,그윽할 유,幺,작을 요,9,준3급,유,2
恕,용서할 서,心,마음 심,10,준3급,서,2
繫,맬 계,糸,실 사|가는실 멱,19,3급,계,8
仙,신선 선,人,사람 인,5,준5급,선,3
導,인도할 도,寸,마디 촌,16,준4급,도,2
容,얼굴 용,宀,집 면,10,준4급,용,2
儒,선비 유,人,사람 인,16,4급,유,2
獸,짐승 수,犬,개 견,19,준3급,수,3
者,놈 자,老,늙을 로,9,6급,자,2
酌,술부을/잔질할 작,酉,닭 유,10,3급,작,2
二,두 이,二,두 이,2,8급,이,2
肅,엄숙할 숙,聿,붓 율,13,4급,숙,2
逃,도망할 도,辵,쉬엄쉬엄갈 착,10,4급,도,2
援,도울 원,手,손 수,12,4급,원,2
施,베풀 시,方,모 방,9,준4급,시,5
産,낳을 산,生,날 생,11,준5급,산,2
始,비로소 시,女,계집 녀,8,준6급,시,2
岸,언덕 안,山,메 산,8,준3급,안,4
贈,줄 증,貝,조개 패,19,3급,증,2
聖,성인 성,耳,귀 이,13,준4급,성,2
